Label	Node_Set
A1	1
A2	1
A3	1
A4	1
A5	1
A6	1
A7	1
A8	1
A9	1
A10	1
A11	1
A12	1
A13	1
A14	1
A15	1
A16	1
A17	1
A18	1
A19	1
A20	1
A21	1
A22	1
A23	1
A24	1
A25	1
A26	1
A27	1
A28	1
A29	1
A30	1
A31	1
A32	1
A33	1
A34	1
A35	1
A36	1
A37	1
A38	1
A39	1
A40	1
A41	1
A42	1
A43	1
A44	1
A45	1
A46	1
A47	1
A48	1
A49	1
A50	1
A51	1
A52	1
A53	1
A54	1
A55	1
A56	1
A57	1
A58	1
A59	1
A60	1
A61	1
A62	1
A63	1
A64	1
A65	1
A66	1
A67	1
A68	1
A69	1
A70	1
A71	1
A72	1
A73	1
A74	1
A75	1
A76	1
A77	1
A78	1
A79	1
A80	1
A81	1
A82	1
A83	1
A84	1
A85	1
A86	1
A87	1
A88	1
A89	1
A90	1
A91	1
B1	2
B2	2
B3	2
B4	2
B5	2
B6	2
B7	2
B8	2
B9	2
B10	2
B11	2
B12	2
B13	2
B14	2
B15	2
B16	2
B17	2
B18	2
B19	2
B20	2
B21	2
B22	2
B23	2
B24	2
B25	2
B26	2
B27	2
B28	2
B29	2
B30	2
B31	2
B32	2
B33	2
B34	2
B35	2
B36	2
B37	2
B38	2
B39	2
B40	2
B41	2
B42	2
