class	sex
3	2
3	1
3	2
3	1
3	2
3	1
3	1
2	2
2	2
2	2
2	2
1	1
2	1
2	2
3	1
2	1
3	1
2	2
2	2
2	2
2	1
7	2
3	1
9	2
9	1
9	2
9	1
9	1
4	NA
4	2
5	1
4	1
4	2
7	1
7	2
7	1
8	2
7	2
7	1
8	1
2	1
3	2
3	2
2	1
2	1
3	1
3	1
3	1
2	1
9	1
3	1
3	1
3	1
3	1
3	1
3	1
1	1
1	1
7	1
7	1
7	1
7	1
8	1
8	2
8	1
8	1
8	2
4	2
7	2
7	1
3	1
3	1
8	1
3	1
3	1
1	1
3	1
7	2
3	1
1	1
1	1
1	1
9	2
9	2
9	1
9	2
9	2
7	1
7	1
2	2
4	2
4	2
9	2
4	2
4	2
4	2
4	1
4	1
4	2
4	1
4	2
2	1
1	1
6	1
7	2
7	2
4	1
7	1
7	1
4	2
8	1
8	1
7	1
9	2
9	2
4	2
3	1
2	1
2	1
9	2
5	2
5	2
1	1
1	1
7	2
4	1
4	1
4	1
6	2
6	2
6	2
6	2
6	1
6	2
