gender female male
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
0 1 NA
1 NA 1
1 NA 1
1 NA 1
0 1 NA
0 1 NA
0 1 NA
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
0 1 NA
1 NA 1
0 1 NA
0 1 NA
0 1 NA
0 1 NA
1 NA 1
1 NA 1
0 1 NA
0 1 NA
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
0 1 NA
0 1 NA
1 NA 1
1 NA 1
1 NA 1
1 NA 1
0 1 NA
1 NA 1
0 1 NA
0 1 NA
1 NA 1
1 NA 1
0 1 NA
0 1 NA
1 NA 1
1 NA 1
0 1 NA
1 NA 1
1 NA 1
1 NA 1
1 NA 1
0 1 NA
0 1 NA
0 1 NA
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
0 1 NA
1 NA 1
1 NA 1
1 NA 1
0 1 NA
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
0 1 NA
0 1 NA
0 1 NA
1 NA 1
0 1 NA
0 1 NA
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
0 1 NA
0 1 NA
0 1 NA
0 1 NA
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
0 1 NA
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
0 1 NA
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
0 1 NA
0 1 NA
0 1 NA
1 NA 1
0 1 NA
1 NA 1
1 NA 1
1 NA 1
0 1 NA
1 NA 1
0 1 NA
1 NA 1
0 1 NA
1 NA 1
1 NA 1
0 1 NA
1 NA 1
0 1 NA
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
0 1 NA
1 NA 1
1 NA 1
0 1 NA
0 1 NA
1 NA 1
1 NA 1
0 1 NA
1 NA 1
0 1 NA
0 1 NA
0 1 NA
0 1 NA
1 NA 1
1 NA 1
0 1 NA
1 NA 1
1 NA 1
1 NA 1
1 NA 1
0 1 NA
0 1 NA
1 NA 1
0 1 NA
0 1 NA
1 NA 1
0 1 NA
0 1 NA
1 NA 1
1 NA 1
0 1 NA
1 NA 1
1 NA 1
1 NA 1
0 1 NA
1 NA 1
0 1 NA
0 1 NA
1 NA 1
0 1 NA
0 1 NA
1 NA 1
1 NA 1
1 NA 1
1 NA 1
0 1 NA
1 NA 1
0 1 NA
0 1 NA
1 NA 1
1 NA 1
1 NA 1
1 NA 1
0 1 NA
1 NA 1
1 NA 1
0 1 NA
1 NA 1
1 NA 1
0 1 NA
0 1 NA
1 NA 1
1 NA 1
0 1 NA
1 NA 1
1 NA 1
1 NA 1
0 1 NA
0 1 NA
1 NA 1
0 1 NA
1 NA 1
0 1 NA
1 NA 1
1 NA 1
1 NA 1
0 1 NA
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
0 1 NA
1 NA 1
0 1 NA
0 1 NA
0 1 NA
1 NA 1
1 NA 1
0 1 NA
1 NA 1
0 1 NA
1 NA 1
1 NA 1
1 NA 1
0 1 NA
0 1 NA
1 NA 1
1 NA 1
0 1 NA
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
0 1 NA
1 NA 1
1 NA 1
0 1 NA
0 1 NA
0 1 NA
0 1 NA
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
0 1 NA
1 NA 1
0 1 NA
1 NA 1
1 NA 1
0 1 NA
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
0 1 NA
0 1 NA
1 NA 1
0 1 NA
1 NA 1
1 NA 1
1 NA 1
0 1 NA
1 NA 1
0 1 NA
0 1 NA
1 NA 1
1 NA 1
0 1 NA
1 NA 1
0 1 NA
1 NA 1
0 1 NA
1 NA 1
0 1 NA
0 1 NA
1 NA 1
1 NA 1
0 1 NA
1 NA 1
1 NA 1
0 1 NA
1 NA 1
1 NA 1
0 1 NA
1 NA 1
0 1 NA
1 NA 1
1 NA 1
0 1 NA
0 1 NA
0 1 NA
1 NA 1
0 1 NA
1 NA 1
0 1 NA
1 NA 1
0 1 NA
0 1 NA
1 NA 1
1 NA 1
0 1 NA
1 NA 1
1 NA 1
1 NA 1
0 1 NA
1 NA 1
0 1 NA
1 NA 1
1 NA 1
0 1 NA
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
0 1 NA
1 NA 1
1 NA 1
0 1 NA
0 1 NA
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
0 1 NA
0 1 NA
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
0 1 NA
1 NA 1
1 NA 1
0 1 NA
0 1 NA
1 NA 1
1 NA 1
1 NA 1
0 1 NA
0 1 NA
1 NA 1
0 1 NA
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
0 1 NA
0 1 NA
1 NA 1
0 1 NA
0 1 NA
0 1 NA
1 NA 1
0 1 NA
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
0 1 NA
0 1 NA
0 1 NA
1 NA 1
1 NA 1
0 1 NA
0 1 NA
0 1 NA
1 NA 1
1 NA 1
1 NA 1
0 1 NA
0 1 NA
0 1 NA
0 1 NA
0 1 NA
0 1 NA
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
0 1 NA
0 1 NA
0 1 NA
0 1 NA
1 NA 1
1 NA 1
0 1 NA
1 NA 1
1 NA 1
0 1 NA
1 NA 1
1 NA 1
0 1 NA
1 NA 1
0 1 NA
1 NA 1
1 NA 1
0 1 NA
1 NA 1
1 NA 1
1 NA 1
0 1 NA
1 NA 1
0 1 NA
0 1 NA
0 1 NA
0 1 NA
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
0 1 NA
1 NA 1
1 NA 1
1 NA 1
1 NA 1
0 1 NA
1 NA 1
1 NA 1
1 NA 1
1 NA 1
0 1 NA
1 NA 1
1 NA 1
0 1 NA
1 NA 1
0 1 NA
1 NA 1
0 1 NA
0 1 NA
1 NA 1
1 NA 1
0 1 NA
0 1 NA
0 1 NA
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
1 NA 1
