ID,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12
1m,0,0,1,1,1,1,1,0,0,0,0,0
2f,0,0,1,1,1,1,1,0,0,0,0,0
3f,0,0,1,1,1,1,1,0,0,0,0,0
5m,0,0,1,1,1,1,1,0,0,0,0,0
6f,0,0,1,1,1,1,1,0,0,0,0,0
7m,0,0,1,1,1,1,1,0,0,0,0,0
8f,0,0,1,1,1,1,1,0,0,0,0,0
9f,0,0,1,1,1,1,1,0,0,0,0,0
10m,0,0,1,1,1,1,1,0,0,0,0,0
11m,0,0,1,1,1,1,1,0,0,0,0,0
12m,0,0,1,1,1,1,1,0,0,0,0,0
16m,0,0,1,1,1,1,1,0,0,0,0,0
17f,0,0,1,1,1,1,1,0,0,0,0,0
18f,0,0,1,1,1,1,1,0,0,0,0,0
19m,0,0,1,1,1,1,1,0,0,0,0,0
20f,0,0,1,1,1,1,1,0,0,0,0,0
21m,0,0,1,1,1,1,1,0,0,0,0,0
22f,0,0,1,1,1,1,1,0,0,0,0,0
23f,0,0,1,1,1,1,1,0,0,0,0,0
24f,0,0,1,1,1,1,1,0,0,0,0,0
25m,0,0,1,1,1,1,1,0,0,0,0,0
27f,0,0,1,1,1,1,1,0,0,0,0,0
