ID,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12
1m,0,0,0,0,0,0,0,0,0,0,0,0
2f,0,0,0,0,0,0,0,0,0,0,0,0
3f,0,1,1,1,1,1,1,1,1,1,1,1
5m,0,0,0,0,0,1,1,1,1,1,3,3
6f,0,0,0,0,0,0,0,0,0,0,0,0
7m,2,2,3,3,4,4,4,4,4,4,4,4
8f,3,3,3,4,4,4,4,4,4,4,4,4
9f,0,0,0,0,0,0,0,0,0,0,0,0
10m,0,0,0,0,0,0,1,1,2,2,2,3
11m,0,0,0,0,0,0,0,0,0,0,1,1
12m,0,0,0,0,0,0,0,0,0,0,0,0
16m,0,0,0,0,0,0,0,0,0,0,0,0
17f,0,0,0,1,1,1,1,1,1,2,2,2
18f,0,0,0,0,0,0,0,0,0,0,0,0
19m,2,2,2,2,2,2,2,2,2,2,2,2
20f,0,0,0,0,0,0,0,0,0,0,0,0
21m,0,0,0,0,0,0,0,0,0,0,0,0
22f,0,0,0,0,0,0,0,0,0,0,0,0
23f,0,1,1,2,2,2,3,3,3,4,4,4
24f,0,0,0,0,0,0,0,0,0,0,0,0
25m,0,0,0,0,0,0,0,0,0,0,0,0
27f,0,0,0,0,0,0,0,0,0,0,0,1
