betweenGroupFlowCent withinGroupEigenCent withinGroupDegreeCent
1134 0 7
703 0.277350098112615 12
703 0.277350098112615 12
1053 4.27262270693547e-17 8
703 0.277350098112615 12
910 1.91373937436745e-16 10
703 0.277350098112615 12
703 0.277350098112615 12
703 0.277350098112615 12
1053 4.97267917681167e-17 8
910 1.6344694918239e-16 10
910 1.76623836213002e-16 10
703 0.277350098112615 12
910 1.78125693550619e-16 10
1134 1.56648841118945e-17 7
1134 6.23737663732016e-18 7
1219 7.78444447348216e-17 4
1219 5.20871728076594e-17 4
1053 2.27177689638291e-17 8
1134 2.1376897941711e-17 7
910 1.5046706476254e-16 10
1053 4.73859818182114e-17 8
703 0.277350098112615 12
703 0.277350098112615 12
1053 3.9196230433193e-17 8
1219 5.90150039103989e-17 4
1053 7.05512683667046e-17 8
703 0.277350098112615 12
1134 1.12595957850964e-17 7
1134 0 7
910 1.53515697516641e-16 10
910 1.77054682053944e-16 10
1134 0 7
1219 4.81754227427618e-17 4
1219 6.16871982685507e-17 4
1219 5.61201102742113e-17 4
703 0.277350098112615 12
703 0.277350098112615 12
910 1.79426480004545e-16 10
910 1.62517649553027e-16 10
910 1.80605038258282e-16 10
1053 3.67440132297763e-17 8
1053 4.62017358689462e-17 8
1219 8.4854569202368e-17 4
1219 6.58270940437883e-17 4
1053 5.45977100816517e-17 8
703 0.277350098112614 12
1219 5.55241710421543e-17 4
910 1.94289029309402e-16 10
1219 6.24500451351651e-17 4
1134 0 7
