"id" "name" "gender"
1 "Aage Jakobsen" 1
2 "Aage Johan Remøy" 1
3 "Aage Rasmus Bjelland Figenschou" 1
4 "Aagot Irene Skjeldal" 2
5 "Aase Gundersen" 2
6 "Aase Øverland" 2
7 "Aasmund Frøseth" 1
8 "Aasmund Rygnestad" 1
9 "Aasulv Tveitereid" 1
10 "Ada Merethe Stokstad Kjeseth" 2
11 "Adine Charlotte Grate Axen" 2
12 "Adler Ekanger" 1
13 "Ådne Kverneland" 1
14 "Adrien Yves Patrick Bjørnskau" 1
15 "Åge Andersen" 1
16 "Åge Jan Danielsen" 1
17 "Åge Korsvold" 1
18 "Åge Øren" 1
19 "Åge Thoresen" 1
20 "Agnar Gravdal" 1
21 "Agnes Beathe Lindeman Steen Fosse" 2
22 "Agnes Eva Cecilia Hellner" 2
23 "Aileen Utkvitne" 2
24 "Aina Tekle" 2
25 "Aino Kristin Lindal Olaisen" 2
26 "Åke Hugo Hugosson" 1
27 "Aksel Conrad Olesen" 1
28 "Aksel Hroar Gresvig" 1
29 "Aksel Martin Økland" 1
30 "Aksel Olav Hillestad" 1
31 "Alain Fernand Angelil" 1
32 "Albert Graff Øverby" 1
33 "Alberto Fresco" 1
34 "Aleksander Kibsgaard" 1
35 "Aleksander Roman Jazdzyk" 1
36 "Alexander Farquhar Savage" 1
37 "Alexander Kristjan Gudmundsson" 1
38 "Alexander Maria Paiusco" 1
39 "Alexander Munch Thore" 1
40 "Alexander Rødsten" 1
41 "Alexander Sunde" 1
42 "Alexander Vicefield" 1
43 "Alexander Wilhelm Skare Gundersen" 1
44 "Alexandra Bech Gjørv" 2
45 "Alexandra Rullen" 2
46 "Alexey Kruzhkov" 1
47 "Alf Bjørseth" 1
48 "Alf Boy Asheim" 1
49 "Alf Christian Thorkildsen" 1
50 "Alf Egil Bogen" 1
51 "Alf Engdal" 1
52 "Alf Erik Veipe" 1
53 "Alf Georg Aarthun" 1
54 "Alf Gerald Engstrøm" 1
55 "Alf Gudleik Dale" 1
56 "Alf Helge Omre" 1
57 "Alf Jostein Skjærvik" 1
58 "Alf Kenneth Moberg Topstad" 1
59 "Alf Oddvar Bjånes" 1
60 "Alf Olsen" 1
61 "Alf Rasmussen" 1
62 "Alf Steine" 1
