gender postcode city female male
2 NA NA 1 NA
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
2 NA NA 1 NA
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
2 NA NA 1 NA
1 NA NA NA 1
2 NA NA 1 NA
2 NA NA 1 NA
2 NA NA 1 NA
2 NA NA 1 NA
1 NA NA NA 1
2 NA NA 1 NA
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
2 NA NA 1 NA
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
2 NA NA 1 NA
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
2 NA NA 1 NA
2 NA NA 1 NA
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
2 NA NA 1 NA
1 NA NA NA 1
1 NA NA NA 1
